QBER,SKR,Target,Time_Series
0.05263157894736836,0.9639423076923077,1.0,0
0.0029239766081872176,0.9278846153846154,1.0,0
-0.0029239766081869956,1.0024038461538463,1.0,0
-0.00877192982456143,1.0456730769230769,1.0,0
0.005847953216374213,0.9783653846153847,1.0,0
0.026315789473684292,1.0024038461538463,1.0,0
0.0,1.0120192307692308,1.0,0
0.0,0.9975961538461539,1.0,0
-0.0029239766081869956,0.8100961538461539,1.0,0
-0.41812865497076024,1.3293269230769231,0.0,0
-0.4093567251461988,1.3653846153846154,0.0,0
-0.43274853801169577,1.3701923076923077,0.0,0
-0.39473684210526305,1.310096153846154,0.0,0
-0.3538011695906432,1.2355769230769231,0.0,0
-0.36257309941520466,1.278846153846154,0.0,0
-0.40058479532163727,1.3605769230769231,0.0,0
-0.4093567251461988,1.3293269230769231,0.0,0
-0.40058479532163727,1.310096153846154,0.0,0
-0.4473684210526315,1.3653846153846154,0.0,0
-0.42982456140350866,1.3533653846153846,0.0,0
-0.3830409356725145,1.2908653846153846,0.0,0
-0.4444444444444444,1.3990384615384617,0.0,0
-0.42690058479532156,1.3485576923076923,0.0,0
-0.3391812865497076,1.2620192307692308,0.0,0
-0.39766081871345016,1.3389423076923077,0.0,0
-0.41812865497076024,1.3533653846153846,0.0,0
-0.4035087719298245,1.2932692307692308,0.0,0
-0.4093567251461988,1.3389423076923077,0.0,0
-0.40058479532163727,1.3125,0.0,0
-0.39766081871345016,1.3341346153846154,0.0,0
-0.42690058479532156,1.341346153846154,0.0,0
-0.42105263157894735,1.310096153846154,0.0,0
-0.38888888888888884,1.3365384615384617,0.0,0
-0.36549707602339176,1.2692307692307694,0.0,0
-0.4473684210526315,1.375,0.0,0
-0.42105263157894735,1.3557692307692308,0.0,0
-0.39473684210526305,1.2932692307692308,0.0,0
-0.3771929824561403,1.2379807692307692,0.0,0
-0.38888888888888884,1.3389423076923077,0.0,0
-0.38888888888888884,1.3317307692307694,0.0,0
-0.2807017543859649,1.1634615384615385,0.0,0
-0.38596491228070173,1.3221153846153846,0.0,0
-0.40058479532163727,1.2860576923076923,0.0,0
-0.36257309941520466,1.2716346153846154,0.0,0
-0.4093567251461988,1.3461538461538463,0.0,0
-0.350877192982456,1.2692307692307694,0.0,0
-0.4035087719298245,1.3197115384615385,0.0,0
-0.43274853801169577,1.3846153846153846,0.0,0
-0.42690058479532156,1.3557692307692308,0.0,0
-0.40058479532163727,1.3245192307692308,0.0,0
-0.39766081871345016,1.3197115384615385,0.0,0
-0.39181286549707595,1.3076923076923077,0.0,0
-0.32748538011695905,1.1995192307692308,0.0,0
-0.2865497076023392,1.1706730769230769,0.0,0
-0.42397660818713445,1.3269230769230769,0.0,0
-0.3157894736842104,1.1875,0.0,0
-0.3830409356725145,1.3317307692307694,0.0,0
-0.4035087719298245,1.3149038461538463,0.0,0
-0.3450292397660818,1.2331730769230769,0.0,0
-0.39766081871345016,1.310096153846154,0.0,0
-0.36257309941520466,1.2836538461538463,0.0,0
-0.3713450292397661,1.310096153846154,0.0,0
-0.4122807017543859,1.3533653846153846,0.0,0
-0.4122807017543859,1.3197115384615385,0.0,0
-0.3713450292397661,1.2740384615384617,0.0,0
-0.3450292397660818,1.247596153846154,0.0,0
-0.4035087719298245,1.34375,0.0,0
-0.3801169590643274,1.2692307692307694,0.0,0
-0.39766081871345016,1.2908653846153846,0.0,0
-0.3362573099415205,1.125,0.0,0
-0.3742690058479532,1.2716346153846154,0.0,0
-0.39766081871345016,1.3245192307692308,0.0,0
-0.3830409356725145,1.2644230769230769,0.0,0
-0.35964912280701744,1.2956730769230769,0.0,0
-0.42105263157894735,1.3365384615384617,0.0,0
-0.3450292397660818,1.2668269230769231,0.0,0
-0.3099415204678362,1.1923076923076923,0.0,0
-0.3771929824561403,1.2644230769230769,0.0,0
-0.35672514619883033,1.2956730769230769,0.0,0
-0.3391812865497076,1.2451923076923077,0.0,0
-0.3391812865497076,1.2379807692307692,0.0,0
-0.3801169590643274,1.2932692307692308,0.0,0
